timestamp,dataset_name,training_rmse,validation_rmse,test_rmse,execution_type,
2025-08-31 13:39:22,efficiency_heating,4.161447525024414,tensor(3.8743),3.7665069103240967,182,slim linear scaling
2025-08-31 13:39:30,efficiency_heating,3.497093439102173,tensor(3.3258),3.4232115745544434,119,slim linear scaling oms
2025-08-31 13:40:23,efficiency_heating,3.5293447971343994,tensor(3.3766),3.4308290481567383,124,slim linear scaling oms pareto
2025-08-31 13:40:31,forest_fires,tensor(1.2921),tensor(1.5248),1.5150805711746216,166,slim
2025-08-31 13:40:39,forest_fires,tensor(1.2696),tensor(1.5740),1.762939214706421,132,slim oms
2025-08-31 13:41:49,forest_fires,tensor(1.2850),tensor(1.5656),1.5137392282485962,134,slim oms pareto
2025-08-31 13:41:57,forest_fires,1.3172917366027832,tensor(1.4736),1.5055522918701172,128,slim linear scaling
2025-08-31 13:42:05,forest_fires,1.2967082262039185,tensor(1.5708),1.5205087661743164,114,slim linear scaling oms
2025-08-31 13:42:50,forest_fires,1.3002166748046875,tensor(1.4924),1.5173847675323486,75,slim linear scaling oms pareto
2025-08-31 13:43:02,istanbul,tensor(0.0135),tensor(0.0150),0.015234719961881638,92,slim
2025-08-31 13:43:10,istanbul,tensor(0.0127),tensor(0.0161),0.014347397722303867,149,slim oms
2025-08-31 13:44:08,istanbul,tensor(0.0129),tensor(0.0149),0.014131564646959305,148,slim oms pareto
2025-08-31 13:44:17,istanbul,0.013726371340453625,tensor(0.0146),0.014238052070140839,36,slim linear scaling
2025-08-31 13:44:24,istanbul,0.013433965854346752,tensor(0.0149),0.014524992555379868,128,slim linear scaling oms
2025-08-31 13:45:11,istanbul,0.013405406847596169,tensor(0.0142),0.014517503790557384,149,slim linear scaling oms pareto
2025-08-31 13:45:20,parkinson_updrs,tensor(10.8332),tensor(10.8511),10.923823356628418,142,slim
2025-08-31 13:45:28,parkinson_updrs,tensor(10.1866),tensor(10.2233),10.01025676727295,178,slim oms
2025-08-31 13:46:39,parkinson_updrs,tensor(10.3472),tensor(10.3918),10.144572257995605,118,slim oms pareto
2025-08-31 13:46:48,parkinson_updrs,10.126039505004883,tensor(10.1560),10.069067001342773,127,slim linear scaling
2025-08-31 13:46:58,parkinson_updrs,10.076523780822754,tensor(10.1633),9.961935043334961,29,slim linear scaling oms
2025-08-31 13:47:44,parkinson_updrs,10.096291542053223,tensor(10.1784),9.962088584899902,14,slim linear scaling oms pareto
2025-08-31 13:47:52,ppb,tensor(39.4183),tensor(42.1795),39.848846435546875,124,slim
2025-08-31 13:48:01,ppb,tensor(19.5116),tensor(30.3424),29.94620132446289,128,slim oms
2025-08-31 13:49:00,ppb,tensor(22.8654),tensor(31.1600),29.05841064453125,124,slim oms pareto
2025-08-31 13:49:12,ppb,24.00518035888672,tensor(28.5142),28.63401222229004,130,slim linear scaling
2025-08-31 13:49:24,ppb,27.2569637298584,tensor(32.4077),26.86713981628418,25,slim linear scaling oms
2025-08-31 13:50:16,ppb,27.277612686157227,tensor(32.1500),30.165023803710938,18,slim linear scaling oms pareto
2025-08-31 13:50:22,resid_build_sale_price,tensor(132.6306),tensor(114.9087),122.45072174072266,124,slim
2025-08-31 13:50:28,resid_build_sale_price,tensor(91.2682),tensor(81.9587),74.94937896728516,117,slim oms
2025-08-31 13:51:22,resid_build_sale_price,tensor(95.2493),tensor(86.4413),81.274658203125,128,slim oms pareto
2025-08-31 13:51:29,resid_build_sale_price,105.42488098144531,tensor(152.1485),227.59666442871094,126,slim linear scaling
2025-08-31 13:51:37,resid_build_sale_price,82.16802978515625,tensor(133.9117),211.4867401123047,132,slim linear scaling oms
2025-08-31 13:52:24,resid_build_sale_price,86.89317321777344,tensor(139.5155),215.6029052734375,88,slim linear scaling oms pareto
