individual,metric,mean,std,median,iqr,q1,q3
best_fitness,train_rmse,1.3498783333333335,0.04536580362459975,1.347545,0.07767750000000029,1.3118049999999999,1.3894825000000002
best_fitness,val_rmse,1.412712333333333,0.0810466369649804,1.41665,0.1242074999999998,1.350105,1.4743125
best_fitness,test_rmse,1.4103786666666671,0.10150056846225504,1.4198499999999998,0.12029749999999995,1.351955,1.4722525
best_fitness,nodes,41.733333333333334,7.510605528337835,42.0,7.5,37.0,44.5
best_fitness,depth,14.5,0.8610338613230188,15.0,1.0,14.0,15.0
best_normalized,train_rmse,1.3616516666666667,0.04643820989773128,1.35499,0.07012250000000009,1.32302,1.3931425000000002
best_normalized,val_rmse,1.4136710000000003,0.07999673098277851,1.399575,0.11082000000000014,1.3508025,1.4616225
best_normalized,test_rmse,1.4144416666666664,0.10445093212252521,1.425355,0.1487925000000001,1.3372199999999999,1.4860125
best_normalized,nodes,29.0,6.258786926641891,28.0,6.0,25.0,31.0
best_normalized,depth,11.666666666666666,0.922266074754828,12.0,1.0,11.0,12.0
smallest,train_rmse,1.3935393333333337,0.06266629534250469,1.3816950000000001,0.06708249999999993,1.35589,1.4229725
smallest,val_rmse,1.4147726666666667,0.07694522404274684,1.417805,0.06717499999999998,1.3802975,1.4474725
smallest,test_rmse,1.4239806666666666,0.0926666016885574,1.41593,0.11807999999999996,1.3520725,1.4701525
smallest,nodes,16.8,8.603928533344321,17.0,11.5,11.5,23.0
smallest,depth,8.433333333333334,2.648139663643313,9.0,2.0,8.0,10.0
