timestamp,dataset_name,training_rmse,validation_rmse,test_rmse,execution_type
2025-09-26 09:47:14,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 09:48:54,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 09:51:04,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 09:54:10,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 09:56:06,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 16:55:23,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 16:59:33,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 17:02:02,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 17:04:51,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 17:06:51,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 17:07:44,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 17:09:52,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 17:10:31,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 17:10:51,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-26 17:11:50,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-28 13:27:41,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-28 13:30:11,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-28 13:49:46,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-28 13:50:52,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
